Substrate,Age_Years,Operating_Temperature_C,Coating_Prime,Coating_Second,Top_Coat,Insulation_Type,Vapor_Barrier,Environment,Jacket_Damage,Corrosion_Result,Area
CS,12,30 - <40,zinc ethyl silicate,zinc silicate,zinc silicate,mineral fiber,Unknown,Marine,No,Yes,Unknown
CS,12,30 - <40,zinc ethyl silicate,zinc silicate,zinc silicate,mineral fiber,Unknown,Marine,Yes,Yes,Unknown
CS,12,มากกว่าหรือเท่ากับ 200,zinc ethyl silicate,zinc silicate,zinc silicate,mineral fiber,Unknown,Marine,No,Yes(11%)/No(89%),Unknown
CS,12,มากกว่าหรือเท่ากับ 200,zinc ethyl silicate,zinc silicate,zinc silicate,mineral fiber,Unknown,Marine,Yes,Yes(29%)/No(71%),Unknown
CS,12,0 - <10,phenolic epoxy,phenolic epoxy,non top coat,mineral fiber,Unknown,Marine,No,No,Unknown
CS,12,0 - <10,phenolic epoxy,phenolic epoxy,non top coat,mineral fiber,Unknown,Marine,Yes,No,Unknown
CS,12,0 - <10,zinc ethyl silicate,zinc silicate,zinc silicate,mineral fiber,Unknown,Marine,Yes,No,Unknown
CS,12,30 - <40,phenolic epoxy,phenolic epoxy,non top coat,mineral fiber,Unknown,Marine,Yes,Yes(80%)/No(20%),Unknown
CS,12,0 - <10,phenolic epoxy,phenolic epoxy,non top coat,cellular glass,Unknown,Marine,Yes,No,Unknown
CS,12,0 - <10,phenolic epoxy,phenolic epoxy,non top coat,cellular glass,Unknown,Marine,No,Yes(11%)/No(89%),Unknown
LTCS,12,30 - <40,phenolic epoxy,phenolic epoxy,non top coat,mineral fiber,Unknown,Marine,No,No,Unknown
LTCS,12,30 - <40,phenolic epoxy,phenolic epoxy,non top coat,mineral fiber,Unknown,Marine,Yes,No,Unknown
CS,12,150 - <160,zinc ethyl silicate,zinc silicate,zinc silicate,mineral fiber,Unknown,Marine,No,Yes(67%)/No(33%),Unknown
CS,12,130 - <140,rich zinc epoxy,Epoxy,polyurethane,mineral fiber,Unknown,Marine,Yes,Yes(63%)/No(38%),Unknown
CS,12,150 - <160,zinc ethyl silicate,zinc silicate,zinc silicate,mineral fiber,Unknown,Marine,Yes,Yes,Unknown
CS,12,130 - <140,rich zinc epoxy,Epoxy,polyurethane,mineral fiber,Unknown,Marine,No,Yes(40%)/No(60%),Unknown
CS,12,150 - <160,rich zinc epoxy,Epoxy,polyurethane,mineral fiber,Unknown,Marine,Yes,No,Unknown
CS,12,150 - <160,rich zinc epoxy,Epoxy,polyurethane,mineral fiber,Unknown,Marine,No,Yes(17%)/No(83%),Unknown
CS,12,50 - <60,phenolic epoxy,phenolic epoxy,non top coat,mineral fiber,Unknown,Marine,No,No,Unknown
LTCS,12,70 - <80,rich zinc epoxy,Epoxy,polyurethane,mineral fiber,Unknown,Marine,No,No,Unknown
CS,12,50 - <60,phenolic epoxy,phenolic epoxy,non top coat,mineral fiber,Unknown,Marine,Yes,No,Unknown
LTCS,12,30 - <40,phenolic epoxy,phenolic epoxy,non top coat,cellular glass,Unknown,Marine,Yes,No,Unknown
LTCS,12,30 - <40,phenolic epoxy,phenolic epoxy,non top coat,cellular glass,Unknown,Marine,No,No,Unknown
LTCS,12,80 - <90,rich zinc epoxy,Epoxy,polyurethane,mineral fiber,Unknown,Marine,No,No,Unknown
LTCS,12,(10) - <0,phenolic epoxy,phenolic epoxy,non top coat,cellular glass,Unknown,Marine,Yes,No,Unknown
LTCS,12,(10) - <0,phenolic epoxy,phenolic epoxy,non top coat,cellular glass,Unknown,Marine,No,No,Unknown
CS,16,40 - <50,inorganic zinc self-cure,Epoxy,2 component polyurethane,mineral fiber,Unknown,Industrial,No,No,Unknown
CS,16,120 - <130,inorganic zinc self-cure,sillicone acrylic mio,silicone acrylic,mineral fiber,Unknown,Industrial,Yes,No,Unknown
CS,16,10 - <20,inorganic zinc self-cure,Epoxy,2 component polyurethane,Unknown,Unknown,Industrial,Yes,No,Unknown
CS,16,20 - <30,inorganic zinc self-cure,Epoxy,2 component polyurethane,Unknown,Unknown,Industrial,No,No,Unknown
CS,16,60 - <70,inorganic zinc self-cure,Epoxy,2 component polyurethane,mineral fiber,Unknown,Industrial,No,No,Unknown
CS,16,30 - <40,inorganic zinc self-cure,Epoxy,2 component polyurethane,mineral fiber,Unknown,Industrial,No,No,Unknown
CS,25,110 - <120,inorganic zinc,non 2nd coat,Epoxy,mineral fiber,Unknown,Industrial,Unknown,Yes(50%)/No(50%),Unknown
CS,24,90 - <100,Epoxy,non 2nd coat,Epoxy,mineral fiber,Unknown,Industrial,Unknown,No,Unknown
CS,26,110 - <120,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,Yes(33%)/No(67%),Unknown
CS,23,0 - <10,inorganic zinc,non 2nd coat,silicone aluminum,Cellular glass,Unknown,Industrial,Unknown,No,Unknown
CS,25,80 - <90,inorganic zinc,non 2nd coat,Epoxy,mineral fiber,Unknown,Industrial,Unknown,No,Unknown
CS,26,80 - <90,inorganic zinc,non 2nd coat,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,Unknown
CS,26,120 - <130,inorganic zinc,non 2nd coat,Epoxy,mineral fiber,Unknown,Industrial,Unknown,No,Unknown
CS,28,80 - <90,inorganic zinc,non 2nd coat,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,No,Unknown
CS,25,50 - <60,inorganic zinc,non 2nd coat,non top coat,mineral fiber,Unknown,Industrial,Unknown,No,Unknown
CS,15,140 - <150,inorganic zinc,non 2nd coat,silicone aluminum,mineral fiber,Unknown,Industrial,Unknown,Yes,Unknown
CS,23,0 - <10,inorganic zinc,non 2nd coat,Epoxy,Cellular glass,Unknown,Industrial,Unknown,No,Unknown
CS,23,20 - <30,inorganic zinc,non 2nd coat,non top coat,Cellular glass,Unknown,Industrial,Unknown,No,Unknown
